0.12,0.394,0.115,0.393
0.13,0.430,0.143,0.429
0.14,0.462,0.172,0.461
0.15,0.490,0.204,0.490
0.16,0.516,0.236,0.516
0.17,0.539,0.270,0.539
0.18,0.560,0.304,0.560
0.19,0.580,0.338,0.580
0.20,0.597,0.371,0.597
0.21,0.614,0.404,0.614
0.22,0.629,0.436,0.629
0.23,0.643,0.467,0.643
0.24,0.657,0.497,0.657
0.25,0.670,0.525,0.670
0.26,0.682,0.553,0.682
0.27,0.693,0.579,0.693
0.28,0.704,0.603,0.704
0.29,0.715,0.626,0.715
0.30,0.725,0.648,0.725
0.31,0.734,0.668,0.734
0.32,0.743,0.687,0.743
0.33,0.752,0.705,0.752
0.34,0.761,0.721,0.761
0.35,0.769,0.736,0.769
0.36,0.777,0.750,0.777
0.37,0.785,0.763,0.785
0.38,0.793,0.775,0.792
0.39,0.800,0.786,0.800
0.40,0.807,0.797,0.807
0.41,0.814,0.807,0.814
0.42,0.821,0.816,0.821
0.43,0.828,0.825,0.828
0.44,0.834,0.833,0.834
0.45,0.841,0.841,0.841
0.46,0.847,0.848,0.847
0.47,0.853,0.856,0.853
0.48,0.859,0.863,0.859
0.49,0.865,0.869,0.865
0.51,0.871,0.876,0.871
0.52,0.877,0.882,0.877
0.53,0.883,0.889,0.883
0.54,0.888,0.895,0.888
0.55,0.894,0.901,0.894
0.56,0.900,0.906,0.899
0.57,0.905,0.912,0.905
0.58,0.910,0.918,0.910
0.59,0.916,0.923,0.916
0.60,0.921,0.929,0.921
0.61,0.926,0.934,0.926
0.62,0.931,0.939,0.931
0.63,0.936,0.944,0.936
0.64,0.941,0.949,0.941
0.65,0.946,0.955,0.946
0.66,0.951,0.959,0.951
0.67,0.956,0.964,0.956
0.68,0.961,0.969,0.961
0.69,0.966,0.974,0.965
0.70,0.970,0.978,0.970
0.71,0.975,0.983,0.975
0.72,0.980,0.987,0.979
0.73,0.984,0.991,0.984
0.74,0.988,0.995,0.988
0.75,0.993,0.998,0.993
0.76,0.997,1.000,0.997
0.77,1.000,0.995,1.000
0.78,0.967,0.956,0.967
0.79,0.864,0.867,0.864
0.80,0.766,0.772,0.766
0.81,0.674,0.681,0.674
0.82,0.590,0.596,0.589
0.83,0.511,0.517,0.511
0.84,0.440,0.445,0.440
0.85,0.375,0.379,0.375
0.86,0.316,0.319,0.316
0.87,0.262,0.266,0.262
0.88,0.215,0.218,0.215
0.89,0.173,0.175,0.173
0.90,0.137,0.138,0.137
0.91,0.105,0.107,0.105
0.92,0.079,0.080,0.079
0.93,0.056,0.057,0.056
0.94,0.038,0.039,0.038
0.95,0.024,0.025,0.024
0.96,0.014,0.014,0.014
0.97,0.007,0.007,0.007
0.98,0.003,0.003,0.003
