s_sat,rdamm1_ts1,su_ts1,supeca_ts1,rdamm_ts2,su_ts2,supeca_ts2
0.68,0.983,0.952,0.983,0.977,0.99,0.977
0.69,0.987,0.941,0.987,0.983,0.995,0.983
0.7,0.99,0.928,0.99,0.988,0.998,0.988
0.71,0.993,0.914,0.993,0.993,1,0.993
0.72,0.996,0.898,0.996,0.998,0.998,0.998
0.73,0.998,0.879,0.998,1,0.987,1
0.74,0.999,0.859,0.999,0.969,0.951,0.969
0.75,1,0.837,1,0.885,0.886,0.885
0.76,1,0.812,1,0.801,0.809,0.801
0.77,0.999,0.784,0.999,0.721,0.731,0.721
0.78,0.998,0.754,0.998,0.646,0.657,0.645
0.79,0.995,0.721,0.995,0.575,0.586,0.575
0.8,0.99,0.686,0.99,0.509,0.52,0.509
0.81,0.984,0.648,0.984,0.448,0.458,0.448
0.82,0.976,0.607,0.976,0.392,0.4,0.392
0.83,0.966,0.564,0.966,0.34,0.348,0.34
0.84,0.952,0.518,0.952,0.293,0.299,0.292
0.85,0.935,0.471,0.935,0.249,0.255,0.249
0.86,0.913,0.422,0.913,0.21,0.215,0.21
0.87,0.885,0.372,0.885,0.175,0.179,0.174
0.88,0.85,0.323,0.85,0.143,0.146,0.143
0.89,0.807,0.274,0.807,0.115,0.118,0.115
0.9,0.753,0.227,0.753,0.091,0.093,0.091
0.91,0.688,0.182,0.688,0.07,0.072,0.07
0.92,0.609,0.141,0.609,0.052,0.053,0.052
0.93,0.517,0.105,0.517,0.037,0.038,0.037
0.94,0.414,0.074,0.414,0.026,0.026,0.026
0.95,0.304,0.048,0.304,0.016,0.017,0.016
0.96,0.198,0.028,0.198,0.009,0.01,0.009
0.97,0.108,0.014,0.108,0.005,0.005,0.005
0.98,0.043,0.005,0.043,0.002,0.002,0.002
0.99,0.01,0.001,0.01,0,0,0
1,0.003,0,0.003,0,0,0
0,0,0,0,0,0,0
0.01,0.001,0,0.001,0.001,0,0.001
0.02,0.002,0,0.002,0.002,0,0.002
0.03,0.002,0,0.002,0.002,0,0.002
0.04,0.003,0,0.003,0.003,0,0.003
0.05,0.004,0.001,0.004,0.004,0,0.004
0.06,0.007,0.001,0.007,0.007,0.001,0.007
0.07,0.012,0.001,0.012,0.011,0.001,0.011
0.08,0.019,0.002,0.019,0.019,0.002,0.019
0.09,0.031,0.004,0.031,0.03,0.003,0.03
0.1,0.047,0.006,0.047,0.045,0.005,0.045
0.11,0.068,0.009,0.068,0.066,0.008,0.066
0.12,0.095,0.014,0.095,0.092,0.011,0.092
0.13,0.128,0.019,0.128,0.124,0.016,0.124
0.14,0.165,0.027,0.165,0.16,0.023,0.16
0.15,0.205,0.037,0.206,0.199,0.031,0.199
0.16,0.248,0.049,0.248,0.24,0.041,0.24
0.17,0.291,0.063,0.291,0.282,0.053,0.282
0.18,0.333,0.081,0.333,0.322,0.067,0.322
0.19,0.373,0.101,0.374,0.362,0.084,0.362
0.2,0.411,0.124,0.412,0.399,0.104,0.399
