0.88,0.912,0.425,0.912
0.89,0.881,0.369,0.881
0.90,0.841,0.313,0.841
0.91,0.790,0.258,0.790
0.92,0.725,0.205,0.725
0.93,0.642,0.156,0.642
0.94,0.541,0.113,0.541
0.95,0.423,0.075,0.423
0.96,0.295,0.045,0.295
0.97,0.171,0.023,0.171
0.98,0.073,0.009,0.073
0.99,0.017,0.002,0.017
1.00,0.003,0.000,0.003
0.00,0.000,0.000,0.000
0.01,0.002,0.000,0.002
0.02,0.005,0.001,0.005
0.03,0.013,0.002,0.013
0.04,0.030,0.004,0.030
0.05,0.058,0.008,0.058
0.06,0.095,0.015,0.096
0.07,0.141,0.025,0.141
0.08,0.190,0.038,0.190
0.09,0.239,0.055,0.239
0.10,0.286,0.076,0.287
0.11,0.330,0.101,0.331
0.12,0.370,0.129,0.371
0.13,0.406,0.160,0.407
0.14,0.438,0.195,0.439
0.15,0.468,0.231,0.469
0.16,0.494,0.270,0.495
0.17,0.518,0.309,0.520
0.18,0.541,0.349,0.542
0.19,0.561,0.389,0.562
0.20,0.580,0.429,0.582
0.21,0.598,0.468,0.599
0.22,0.614,0.507,0.616
0.23,0.630,0.544,0.632
0.24,0.645,0.580,0.647
0.25,0.659,0.615,0.661
0.26,0.673,0.648,0.675
0.27,0.686,0.680,0.688
0.28,0.698,0.710,0.700
0.29,0.710,0.738,0.712
0.30,0.721,0.764,0.723
0.31,0.732,0.788,0.734
0.32,0.743,0.810,0.745
0.33,0.753,0.830,0.755
0.34,0.763,0.849,0.765
0.35,0.772,0.865,0.774
0.36,0.782,0.880,0.783
0.37,0.791,0.894,0.792
0.38,0.799,0.906,0.801
0.39,0.808,0.917,0.810
0.40,0.816,0.927,0.818
0.41,0.825,0.936,0.826
0.42,0.833,0.944,0.834
0.43,0.840,0.951,0.841
0.44,0.848,0.958,0.849
0.45,0.855,0.964,0.856
0.46,0.863,0.970,0.863
0.47,0.870,0.975,0.871
0.48,0.877,0.980,0.878
0.49,0.884,0.984,0.884
0.51,0.891,0.988,0.891
0.52,0.897,0.991,0.898
0.53,0.904,0.994,0.904
0.54,0.910,0.996,0.911
0.55,0.917,0.998,0.917
0.56,0.923,0.999,0.923
0.57,0.929,1.000,0.929
0.58,0.934,1.000,0.935
0.59,0.940,0.999,0.940
0.60,0.946,0.998,0.946
0.61,0.951,0.996,0.951
0.62,0.956,0.993,0.956
0.63,0.961,0.989,0.961
0.64,0.966,0.984,0.966
0.65,0.971,0.978,0.971
0.66,0.975,0.971,0.975
0.67,0.979,0.962,0.979
0.68,0.983,0.952,0.983
0.69,0.987,0.941,0.987
0.70,0.990,0.928,0.990
0.71,0.993,0.914,0.993
0.72,0.996,0.898,0.996
0.73,0.998,0.879,0.998
0.74,0.999,0.859,0.999
0.75,1.000,0.837,1.000
0.76,1.000,0.812,1.000
0.77,0.999,0.784,0.999
0.78,0.998,0.754,0.998
0.79,0.995,0.721,0.995
0.80,0.990,0.686,0.990
0.81,0.984,0.648,0.984
0.82,0.976,0.607,0.976
0.83,0.966,0.564,0.966
0.84,0.952,0.518,0.952
0.85,0.935,0.471,0.935
0.86,0.913,0.422,0.913
0.87,0.885,0.372,0.885
0.88,0.850,0.323,0.850
0.89,0.807,0.274,0.807
0.90,0.753,0.227,0.753
0.91,0.688,0.182,0.688
0.92,0.609,0.141,0.609
0.93,0.517,0.105,0.517
0.94,0.414,0.074,0.414
0.95,0.304,0.048,0.304
0.96,0.198,0.028,0.198
0.97,0.108,0.014,0.108
0.98,0.043,0.005,0.043
0.99,0.010,0.001,0.010
1.00,0.003,0.000,0.003
